#Time       v(a0)      v(cout)    v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)    v(sum8)    v(sum9)    v(sum10)   v(sum11)   v(sum12)   v(sum13)   v(sum14)   v(sum15)  
 0.        -165.E-15   10.552E-9  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 1.E-9      1.8       -653.13E-9 -0.022288  -0.063368   1.5153     1.7999     1.8        1.8        1.8        1.8        1.7999     1.7999     1.8        1.8        1.8        1.7999     1.7999     1.7999    
 2.E-9      1.8       -8.4039E-6 -580.57E-6 -0.0037134 -0.0036674  0.010741   0.018906  -0.11231    0.63534    1.8        1.8027     1.7999     1.8        1.8        1.8        1.7999     1.7999     1.7999    
 3.E-9      1.8        1.8001     12.23E-6   160.33E-6  44.185E-6 -110.06E-6 -224.64E-9  171.86E-6  13.602E-6  0.0020755 -0.0026796  0.015408  -0.0012262  0.07583   -454.12E-6  0.074973  -0.084484   1.8       
 4.E-9      1.8        1.8       -3.3521E-6  56.228E-6  20.146E-6 -515.47E-9  7.0562E-6  46.77E-6   2.5986E-6  17.87E-6  -443.33E-6  895.9E-6   8.7109E-6  395.38E-6  9.1078E-6  0.003275  -0.0014475  0.011781  
 5.E-9      1.8        1.8        6.0607E-6 -56.678E-6 -21.716E-6 -6.1149E-6 -8.1377E-6 -55.985E-6 -3.3351E-6 -9.0466E-6  388.93E-6 -705.92E-6 -13.056E-6 -209.95E-6 -10.273E-6 -0.0019394  851.35E-6 -0.0057908 
 6.E-9      564.9E-12  1.8        1.7613     1.8354    -22.958E-6 -29.977E-6 -10.371E-6 -80.181E-6 -2.2877E-6 -5.9261E-6  86.171E-6 -228.66E-6 -17.778E-6 -26.006E-6 -11.485E-6 -173.19E-6 -12.389E-6  33.646E-6 
 7.E-9     -2.6924E-9  1.8        1.7997     1.8012     1.8021     0.5489    -0.0062463 -73.994E-6 -1.0544E-6 -5.6534E-6  68.944E-6 -216.19E-6 -15.623E-6 -22.576E-6 -9.1614E-6 -164.67E-6 -20.684E-6  25.542E-6 
 8.E-9     -5.0358E-9  1.1247     1.8        1.7999     1.8001     1.8011     1.7986     1.7977     1.8006    -463.28E-6  1.6442    -64.914E-6  233.65E-6 -22.682E-6  78.482E-6 -163.13E-6 -26.484E-6  20.804E-6 
 9.E-9     -1.8155E-9 -286.28E-6  1.8        1.7998     1.8001     1.7999     1.8        1.8002     1.8001     1.8014     1.7936     1.7763     1.803      1.7579     1.7983     1.4328     1.7092     15.767E-6 
 10.E-9     843.9E-12  22.525E-6  1.8        1.7998     1.8001     1.7999     1.8001     1.7999     1.8        1.8002     1.7994     1.7988     1.8003     1.799      1.7999     1.7888     1.7966     1.8443    
 11.E-9     1.8        15.187E-6 -54.384E-6 -0.0039989  1.0711     1.7999     1.8        1.7999     1.8        1.7999     1.8        1.7998     1.7999     1.8001     1.8        1.8        1.8001     1.8       
 12.E-9     1.8        245.53E-6 -27.864E-6 -440.75E-6  297.28E-6  0.024246   0.026976  -0.081427   0.16819    1.7999     1.8127     1.7997     1.7999     1.8        1.8        1.8        1.8001     1.8       
 13.E-9     1.8        1.8003    -17.448E-6 -157.76E-6  70.37E-6   973.89E-6  239.35E-6 -0.0012692  2.9713E-6 -0.0064262 -0.0095459  0.031499   0.0094902  0.102     -96.982E-6  0.10301    0.015301   1.7997    
 14.E-9     1.8        1.8       -12.762E-6 -115.38E-6  47.718E-6  93.349E-6  12.254E-6 -131.13E-6 -30.272E-6 -171.92E-6 -0.0012176  0.0038069  94.617E-6  0.0020712  9.4536E-6  0.01078    748.2E-6  -0.022213  
 15.E-9     1.8        1.8        13.507E-6  124.85E-6 -50.914E-6 -39.445E-6 -13.495E-6  126.1E-6   32.148E-6  102.66E-6  907.98E-6 -0.0022723 -26.048E-6 -911.56E-6 -5.8103E-6 -0.0062936 -514.75E-6  0.010925  
 16.E-9    -1.4837E-9  1.8        1.7908     1.963      80.924E-6 -129.83E-6  37.356E-6 -119.74E-6 -40.559E-6 -86.262E-6 -216.51E-6 -233.92E-6 -57.872E-6  44.278E-6  809.24E-9 -240.28E-6  19.931E-6  26.716E-6 
 17.E-9    -1.9753E-9  1.8        1.7998     1.7988     1.7997     0.70347   -0.0017931  108.06E-6  35.71E-6   84.794E-6  218.88E-6  260.38E-6  57.679E-6 -45.185E-6 -641.46E-9  267.53E-6 -4.1493E-6 -31.247E-6 
 18.E-9    -8.069E-9   0.5371     1.7999     1.8002     1.8        1.7949     1.7996     1.8471     1.7748    -0.0021737  1.5504    -140.2E-6   85.817E-6  46.739E-6  94.114E-6 -266.08E-6 -3.4426E-6  34.058E-6 
 19.E-9    -2.848E-9   268.45E-6  1.7999     1.7999     1.7999     1.8        1.8001     1.7998     1.7997     1.7977     1.7892     1.7804     1.7982     1.8923     1.8004     1.4654     1.9438     32.813E-6 
 20.E-9     1.4865E-9 -2.7236E-6  1.8001     1.8001     1.8001     1.7999     1.8001     1.7999     1.8        1.7999     1.8006     1.801      1.7999     1.8002     1.8        1.8061     1.7993     1.7759    
#Time       v(a0)      v(cout)    v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)    v(sum8)    v(sum9)    v(sum10)   v(sum11)   v(sum12)   v(sum13)   v(sum14)   v(sum15)  
 0.        -157.E-15   10.552E-9  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 250.E-12   1.8        182.37E-9  1.7994     1.7999     1.7999     1.8        1.8001     1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.7998     1.7999     1.8        1.8       
 500.E-12   1.8        283.65E-9 -0.012138   1.7999     1.7999     1.8        1.8001     1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.7998     1.7999     1.7999     1.7999    
 750.E-12   1.8        512.2E-9  -219.16E-6  1.7465     1.7998     1.7999     1.8001     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.7999     1.7999     1.8       
 1.E-9      1.8       -661.25E-9  151.46E-6  0.004846   1.8        1.8001     1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8001     1.8       
 1.25E-9    1.8       -780.65E-9  128.34E-6  0.0017869  1.8144     1.8001     1.7998     1.8        1.8        1.8        1.8        1.8        1.8        1.8001     1.8001     1.8        1.8001     1.8001    
 1.5E-9     1.8       -872.04E-9  105.18E-6  666.87E-6 -0.1361     1.6973     1.7998     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8001     1.8        1.8001     1.8       
 1.75E-9    1.8       -978.35E-9  86.178E-6  305.23E-6 -0.076549  -0.13565    1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8001     1.8001    
 2.E-9      1.8       -1.0733E-6  70.513E-6  154.89E-6 -0.045056  -0.075381   1.466      1.7997     1.7999     1.8        1.8        1.8        1.8        1.8        1.8001     1.8001     1.8001     1.8001    
 2.25E-9    1.8       -1.4136E-6  57.504E-6  85.623E-6 -0.027137  -0.043481  -0.094714   0.76709    1.7969     1.8        1.8075     1.8        1.8        1.8        1.8001     1.8        1.8        1.8       
 2.5E-9     1.8        0.38581    46.627E-6  53.959E-6 -0.016551  -0.02559   -0.055196   0.027704  -0.14019    1.6328     0.32438    1.7998     1.8        1.8        1.8        1.8001     1.8001     1.8001    
 2.75E-9    1.8        1.8737     37.478E-6  39.797E-6 -0.010166  -0.015228  -0.03305    0.0074371 -0.07926    0.088533   0.023858   0.43726    1.8078     1.8        1.8004     1.8        1.8        1.8       
 3.E-9      1.8        1.8096     29.743E-6  33.731E-6 -0.006271  -0.0091181 -0.020078   0.0020942 -0.046741   0.0042057  0.0033411  0.093084   0.21401    1.7996     0.26062    1.7999     1.8001     1.8001    
 3.25E-9    1.8        1.8029     23.176E-6  31.364E-6 -0.0038805 -0.0054806 -0.01229    610.93E-6 -0.028169   68.212E-6  593.47E-6  0.04791    0.032918   0.51771    0.11067    0.94443    1.8        1.8001    
 3.5E-9     1.8        1.7994    -11.12E-6  -26.313E-6  0.0011888  0.001537   0.0036003 -57.429E-6  0.0081551  27.599E-6  38.411E-6 -0.011494  -387.25E-6 -0.0079105 -0.025555   0.0042816  1.8065     1.8027    
 3.75E-9    1.8        1.8001     5.0852E-6  30.643E-6 -546.62E-6 -617.22E-6 -0.0012144  22.904E-6 -0.0027283  13.201E-6 -13.854E-6  0.0035039 -11.057E-6  574.41E-6  0.007893  -754.96E-6 -0.073128  -0.14064   
 4.E-9      1.8        1.8       -2.721E-6   28.071E-6 -127.E-6   -143.76E-6 -292.6E-6   16.946E-6 -424.63E-6  4.2294E-6 -5.2735E-6  471.08E-6 -2.8363E-6  13.934E-6  714.36E-6  16.817E-6 -0.0073952 -0.011238  
 4.25E-9    1.8        1.8        6.1209E-6 -36.566E-6  52.872E-6  76.108E-6  199.79E-6 -17.034E-6  224.64E-6 -2.3187E-6  2.1003E-6 -236.36E-6 -6.1934E-6 -33.369E-6 -322.72E-6 -55.119E-6  0.0025063  0.0035501 
 4.5E-9     1.8        1.8        8.5125E-6 -40.063E-6  28.203E-6  55.208E-6  177.29E-6 -16.992E-6  171.48E-6 -3.5888E-6  838.56E-9 -171.88E-6 -10.827E-6 -42.92E-6  -248.38E-6 -62.839E-6  0.001566   0.0021487 
 4.75E-9    1.8        1.7999    -10.346E-6  47.484E-6 -20.079E-6 -50.927E-6 -181.39E-6  19.805E-6 -163.78E-6  7.3415E-6  326.24E-9  160.23E-6  17.208E-6  55.138E-6  242.29E-6  73.25E-6  -0.0013934 -0.0019002 
 5.E-9      1.8        1.8        10.824E-6 -45.613E-6  15.261E-6  46.263E-6  174.7E-6  -18.434E-6  152.37E-6 -5.7681E-6 -223.49E-9 -146.19E-6 -15.973E-6 -53.164E-6 -227.26E-6 -71.133E-6  0.0012639  0.0016839 
 5.25E-9    1.9029E-9  1.8       -47.802E-6 -35.611E-6 -50.393E-6 -13.116E-6  76.118E-6 -8.2728E-6  14.523E-6 -9.0121E-6 -3.2094E-6  9.7621E-6 -22.429E-6 -49.35E-6  -84.12E-6  -54.891E-6 -1.8374E-6 -25.43E-6  
 5.5E-9     1.4103E-9  1.8       -0.003     -53.468E-6 -100.63E-6 -33.18E-6   128.57E-6 -11.76E-6   11.47E-6  -5.3516E-6 -3.5986E-6  44.473E-6 -27.426E-6 -40.415E-6 -157.01E-6 -82.449E-6 -98.291E-6 -121.1E-6  
 5.75E-9   -4.0123E-9  1.8        1.7857     134.62E-6  109.26E-6  37.833E-6 -133.69E-6  12.213E-6 -7.866E-6   6.4677E-6  4.5818E-6 -51.759E-6  29.574E-6  60.846E-6  166.38E-6  85.828E-6  126.28E-6  145.38E-6 
 6.E-9      438.E-12   1.8        1.8016     0.073978  -119.83E-6 -42.289E-6  144.87E-6 -14.403E-6  7.3759E-6 -7.3348E-6 -5.4997E-6  58.481E-6 -33.331E-6 -62.882E-6 -132.8E-6  -94.348E-6 -144.3E-6  -164.57E-6 
 6.25E-9    1.0483E-9  1.8        1.8007     1.877     -117.38E-6 -45.751E-6  154.3E-6  -15.939E-6  7.3793E-6 -8.3239E-6 -6.2187E-6  63.307E-6 -36.974E-6 -63.65E-6  -148.62E-6 -59.098E-6 -156.71E-6 -131.87E-6 
 6.5E-9     580.2E-12  1.8        1.8003     1.8101    -219.06E-6 -46.038E-6  153.89E-6 -15.609E-6  7.0269E-6 -7.3007E-6 -5.8501E-6  64.27E-6  -34.689E-6 -60.867E-6 -153.91E-6 -73.414E-6 -158.6E-6  -143.4E-6  
 6.75E-9    418.E-12   1.8        1.8002     1.8015    -0.0074875 -53.676E-6  152.63E-6 -15.408E-6  6.5175E-6 -7.0232E-6 -5.6752E-6  64.717E-6 -33.487E-6 -57.884E-6 -157.77E-6 -78.715E-6 -159.69E-6 -149.03E-6 
 7.E-9      121.4E-12  1.8        1.8001     1.8004     1.8644    -0.0032442  169.83E-6 -15.185E-6  6.1634E-6 -6.827E-6  -5.5108E-6  65.042E-6 -32.747E-6 -53.993E-6 -160.84E-6 -81.783E-6 -160.52E-6 -153.46E-6 
 7.25E-9   -1.5571E-9  1.8        1.8        1.8002     1.8221     1.4822     64.343E-6 -15.05E-6   5.8741E-6 -6.605E-6  -5.4298E-6  65.175E-6 -32.301E-6 -55.122E-6 -163.37E-6 -83.622E-6 -161.26E-6 -157.34E-6 
 7.5E-9    -537.1E-12  1.8        1.8        1.8        1.8075     1.7123    -0.0013771 -21.087E-6  1.5825E-6 -6.5063E-6 -7.5812E-6  65.455E-6 -32.03E-6  -52.955E-6 -120.43E-6 -85.011E-6 -162.02E-6 -160.71E-6 
 7.75E-9   -6.9786E-9  1.8        1.8001     1.8001     1.7996     1.8056     0.19993   -655.77E-6 -46.524E-6  6.4492E-6  87.688E-6 -58.932E-6  28.301E-6  43.443E-6  124.03E-6  75.495E-6  146.27E-6  148.31E-6 
 8.E-9     -6.805E-9   1.8        1.8001     1.8        1.7998     1.8023     1.924      0.53059   -0.0017542  3.3419E-6 -0.0055064 -66.995E-6  36.99E-6   60.771E-6  150.52E-6  94.435E-6  168.12E-6  128.09E-6 
 8.25E-9   -8.3761E-9  1.7114     1.8001     1.8        1.7998     1.801      1.8448     1.8565     0.74768   -0.0011728  1.1352    -77.716E-6  32.844E-6  58.738E-6  154.3E-6   64.466E-6  170.96E-6  142.64E-6 
 8.5E-9    -9.2888E-9 -0.10199    1.8001     1.8001     1.7999     1.8004     1.8166     1.8061     1.8332     0.5263     1.7953    -0.0034493  84.806E-6  55.916E-6  179.9E-6   73.238E-6  172.78E-6  150.86E-6 
 8.75E-9   -6.1082E-9 -0.027569   1.8001     1.8001     1.7999     1.8001     1.8061     1.8014     1.8123     1.703      1.7989     1.5472    -0.0070266  49.548E-6 -0.0012541  79.358E-6  174.35E-6  157.65E-6 
 9.E-9     -8.2077E-9 -0.0078533  1.8001     1.8001     1.8        1.8        1.8024     1.8007     1.8046     1.7995     1.7994     1.7261     1.3568     143.57E-6  0.57517    209.81E-6  184.49E-6  126.65E-6 
 9.25E-9   -4.6203E-9 -0.0022749  1.8001     1.8        1.8        1.7999     1.8011     1.8004     1.8018     1.8        1.7997     1.7748     1.7972     0.073911   1.8713    -0.0029827  87.741E-6  136.47E-6 
 9.5E-9    -3.1846E-9 -661.47E-6  1.8001     1.8001     1.8        1.7999     1.8005     1.8002     1.8008     1.8        1.7998     1.7909     1.7989     1.788      1.8248     1.8381     69.578E-6  157.38E-6 
 9.75E-9   -2.8235E-9 -241.28E-6  1.8001     1.8001     1.8        1.7999     1.8003     1.8001     1.8004     1.8        1.7999     1.7965     1.7994     1.7987     1.8084     1.8048    -435.91E-6 -0.0021727 
 10.E-9    -3.9634E-9 -96.18E-6   1.8001     1.8        1.8        1.7999     1.8001     1.8        1.8002     1.8        1.7999     1.7985     1.7997     1.7997     1.803      1.7996    -0.0017257  1.304     
 10.25E-9   1.8        8.5866E-6  1.7996     1.8        1.8        1.8001     1.8        1.8        1.8        1.8        1.8        1.8001     1.8001     1.8001     1.7997     1.8004     0.10728    1.8112    
 10.5E-9    1.8       -6.9547E-6 -0.038731   1.7998     1.8001     1.7999     1.7999     1.8        1.8        1.8        1.8        1.8001     1.8        1.8        1.8        1.8001     1.7984     1.8       
 10.75E-9   1.8       -10.766E-6 -0.0050782  1.4933     1.8001     1.7999     1.7999     1.8        1.8        1.8        1.8        1.8001     1.8        1.8001     1.8001     1.8        1.7998     1.8001    
 11.E-9     1.8       -14.276E-6 -0.003138  -0.098925   1.8        1.7999     1.7999     1.8        1.8        1.8        1.8        1.8001     1.8        1.8        1.8001     1.8        1.7999     1.8001    
 11.25E-9   1.8       -13.946E-6 -0.0019516 -0.03659    1.7232     1.7999     1.7999     1.8        1.8        1.8        1.8        1.8001     1.8        1.8        1.8001     1.8        1.7999     1.8001    
 11.5E-9    1.8       -13.949E-6 -0.0012271 -0.014119  -0.13471    1.4258     1.7998     1.8        1.8        1.8        1.8        1.8001     1.8        1.8        1.8002     1.8        1.8        1.8001    
 11.75E-9   1.8       -14.132E-6 -869.49E-6 -0.0055463 -0.076914  -0.09182    1.8001     1.8        1.8        1.8        1.8        1.8001     1.8        1.8        1.8001     1.8001     1.8        1.8001    
 12.E-9     1.8       -14.379E-6 -626.39E-6 -0.002204  -0.045569  -0.052793   1.2364     1.7997     1.7998     1.8        1.8        1.8001     1.8        1.8        1.8001     1.8        1.8        1.8001    
 12.25E-9   1.8       -15.14E-6  -460.52E-6 -926.93E-6 -0.027535  -0.031008  -0.056414   0.6395     1.7743     1.8        1.8088     1.8001     1.8        1.8        1.8001     1.8001     1.8001     1.8001    
 12.5E-9    1.8        0.40388   -342.5E-6  -412.38E-6 -0.016817  -0.018431  -0.033431   0.048293  -0.1397     1.6199     0.27958    1.7999     1.7999     1.8        1.8        1.8        1.8001     1.8001    
 12.75E-9   1.8        1.8736    -257.65E-6 -176.08E-6 -0.010336  -0.011027  -0.020205   0.013566  -0.079228   0.076026   0.02212    0.38274    1.8099     1.8        1.8005     1.8001     1.8001     1.8001    
 13.E-9     1.8        1.8097    -195.96E-6 -63.527E-6 -0.0063777 -0.0066213 -0.012334   0.0040426 -0.046787   0.0035086  0.0030329  0.10431    0.17817    1.7996     0.25008    1.7999     1.8001     1.8       
 13.25E-9   1.8        1.803     -150.53E-6 -8.9095E-6 -0.0039473 -0.0039862 -0.0075659  0.0012462 -0.028213  -14.096E-6  523.34E-6  0.05399    0.028695   0.47492    0.10894    0.91838    1.8        1.8001    
 13.5E-9    1.8        1.8015    -116.63E-6  18.257E-6 -0.0024538 -0.002411  -0.0046504  423.98E-6 -0.017204  -88.126E-6  111.52E-6  0.030227   0.0057918  0.06989    0.059307  -0.0017772  1.809      1.8011    
 13.75E-9   1.8        1.8008    -90.956E-6  32.278E-6 -0.0015457 -0.0014654 -0.0028609  154.4E-6  -0.010555  -42.689E-6 -13.667E-6  0.017457   0.0012706  0.0202     0.034022  -0.0029624 -0.020447   0.0055222 
 14.E-9     1.8        1.8004    -71.222E-6  39.914E-6 -0.0010697 -955.73E-6 -0.0017693  56.952E-6 -0.0064972  13.624E-6 -22.178E-6  0.01023    284.77E-6  0.0062303  0.019953  -0.0019192 -0.012772   0.0063861 
 14.25E-9   1.8        1.8002    -55.824E-6  44.404E-6 -753.38E-6 -670.58E-6 -0.0010998  23.708E-6 -0.0040071  17.278E-6 -18.841E-6  0.0060374  31.564E-6  0.0019723  0.011824  -0.0010336 -0.0079133  0.0046825 
 14.5E-9    1.8        1.8001    -43.61E-6   47.291E-6 -542.47E-6 -484.13E-6 -751.24E-6  13.658E-6 -0.0024775  12.231E-6 -14.615E-6  0.0035751 -10.048E-6  670.64E-6  0.0070402 -513.55E-6 -0.0049016  0.0030429 
 14.75E-9   1.8        1.7999     42.086E-6 -58.329E-6  506.49E-6  458.91E-6  710.08E-6 -15.012E-6  0.0022027 -14.778E-6  15.501E-6 -0.0031361  14.216E-6 -525.8E-6  -0.0061795  406.85E-6  0.0043569 -0.0027238 
 15.E-9     1.8        1.8001    -39.236E-6  57.051E-6 -465.16E-6 -423.82E-6 -657.39E-6  14.033E-6 -0.0019584  11.359E-6 -13.319E-6  0.0027559 -14.478E-6  409.46E-6  0.0054424 -330.6E-6  -0.0038639  0.0024278 
 15.25E-9  -4.7511E-9  1.8       -11.422E-6 -78.115E-6 -83.469E-6  51.112E-6  163.83E-6 -6.5326E-6  41.724E-6 -9.2488E-6 -10.263E-6  27.337E-6 -36.886E-6 -79.47E-6  -24.466E-6 -112.93E-6 -139.23E-6 -125.26E-6 
 15.5E-9    3.482E-9   1.8       -0.0028025  52.103E-6  137.23E-6 -59.61E-6  -116.21E-6  26.846E-6 -36.958E-6  292.2E-9   7.8949E-6 -49.402E-6  20.634E-6  52.699E-6  111.5E-6   50.107E-6  120.84E-6  90.16E-6  
 15.75E-9  -6.2414E-9  1.7999     1.786      251.15E-6 -120.64E-6  43.77E-6   136.51E-6 -18.558E-6  23.553E-6  1.3512E-6 -3.822E-6   44.421E-6 -17.755E-6 -31.293E-6 -110.74E-6 -68.899E-6 -140.77E-6 -113.56E-6 
 16.E-9     2.7014E-9  1.8        1.8006     0.098061   163.06E-6 -56.242E-6 -126.33E-6  32.454E-6 -28.473E-6 -325.87E-9  10.623E-6 -56.601E-6  42.711E-6  54.029E-6  159.22E-6  68.671E-6  105.44E-6  115.96E-6 
